,Scientific Name,clade,iucn,coverage,uncertain,sources,,proper-names
1,ABBREVIATA BANCROFTI,Nematoda,VU,Fair,Perfect,GBIF,,
2,ABBREVIATA HASTASPICULA,Nematoda,VU,Weak,Perfect,GBIF,,
3,AGLENCHUS AGRICOLA,Nematoda,VU,Weak,Perfect,GBIF,,
4,ALAIMUS PRIMITIVUS,Nematoda,EN,Weak,Perfect,GBIF,,
5,ALLOCORRIGIA FILIFORMIS,Trematoda,LC,Weak,Weak,USNPC,,
6,ALLOGLOSSIDIUM CORTI,Trematoda,LC,Fair,Good,GBIF,,
7,AMALARAEUS PENICILLIGER,Siphonaptera,EN,Weak,Perfect,GBIF,,
8,AMBLYOMMA AMERICANUM,Ixodida,LC,Excellent,Weak,GBIF,,
9,AMBLYOMMA ASTRION,Ixodida,VU,Fair,Perfect,Cumming,,
10,AMBLYOMMA CAJENNENSE,Ixodida,LC,Good,Good,GBIF,,
11,AMBLYOMMA COHAERENS,Ixodida,EN,Excellent,Perfect,Cumming,,
12,AMBLYOMMA COMPRESSUM,Ixodida,VU,Fair,Perfect,Cumming,,
13,AMBLYOMMA CUNEATUM,Ixodida,LC,Good,Perfect,Cumming,,
14,AMBLYOMMA EBERNEUM,Ixodida,LC,Fair,Perfect,Cumming,,
15,AMBLYOMMA EXORNATUM,Ixodida,LC,Excellent,Perfect,Cumming,,
16,AMBLYOMMA FALSOMARMOREUM,Ixodida,LC,Weak,Perfect,Cumming,,
17,AMBLYOMMA FIMBRIATUM,Ixodida,LC,Excellent,Perfect,GBIF,,
18,AMBLYOMMA FLAVOMACULATUM,Ixodida,LC,Fair,Perfect,Cumming,,
19,AMBLYOMMA GEMMA,Ixodida,VU,Excellent,Perfect,Cumming,,
20,AMBLYOMMA GEOEMYDAE,Ixodida,LC,Fair,Perfect,GBIF,,
21,AMBLYOMMA HEBRAEUM,Ixodida,EN,Excellent,Perfect,Cumming,,
22,AMBLYOMMA HELVOLUM,Ixodida,LC,Good,Perfect,GBIF,,
23,AMBLYOMMA JAVANENSE,Ixodida,LC,Fair,Perfect,GBIF,,
24,AMBLYOMMA LATUM,Ixodida,VU,Excellent,Perfect,Cumming,,
25,AMBLYOMMA LEPIDUM,Ixodida,LC,Excellent,Perfect,Cumming,,
26,AMBLYOMMA LIMBATUM,Ixodida,LC,Good,Perfect,GBIF,,
27,AMBLYOMMA MACULATUM,Ixodida,LC,Good,Fair,GBIF,,
28,AMBLYOMMA MARMOREUM,Ixodida,EN,Excellent,Perfect,Cumming,,
29,AMBLYOMMA NUTTALLI,Ixodida,LC,Excellent,Perfect,Cumming,,
30,AMBLYOMMA PAULOPUNCTATUM,Ixodida,LC,Fair,Perfect,Cumming,,
31,AMBLYOMMA POMPOSUM,Ixodida,VU,Excellent,Perfect,Cumming,,
32,AMBLYOMMA RHINOCEROTIS,Ixodida,VU,Excellent,Perfect,Cumming,,
33,AMBLYOMMA SPARSUM,Ixodida,VU,Excellent,Perfect,Cumming,,
34,AMBLYOMMA SPLENDIDUM,Ixodida,LC,Excellent,Perfect,Cumming,,
35,AMBLYOMMA TESTUDINARIUM,Ixodida,LC,Excellent,Perfect,GBIF,,
36,AMBLYOMMA THOLLONI,Ixodida,VU,Excellent,Perfect,Cumming,,
37,AMBLYOMMA TRIGUTTATUM,Ixodida,VU,Excellent,Perfect,GBIF,,
38,AMBLYOMMA VARIEGATUM,Ixodida,VU,Excellent,Perfect,Cumming,,
39,ANAPLECTUS GRANULOSUS,Nematoda,EN,Fair,Perfect,GBIF,,Anaplectus Granulosus
40,ANCYLOSTOMA CANINUM,Nematoda,LC,Excellent,Fair,GBIF USNPC,,Ancylostoma Caninum
41,ANGIOSTRONGYLUS CANTONENSIS,Nematoda,VU,Fair,Excellent,GBIF USNPC,,Angiostrongylus Cantonensis
42,ANOMIOPSYLLUS NUDATUS,Siphonaptera,LC,Good,Perfect,Vectormap GBIF,,Anomiopsyllus Nudatus
43,ANOPLOCEPHALA PERFOLIATA,Cestoda,LC,Weak,Fair,USNPC,,Anoplocephala Perfoliata
44,APHELENCHUS AVENAE,Nematoda,VU,Weak,Perfect,GBIF,,Aphelenchus Avenae
45,APHELENCHUS PARIETINUS,Nematoda,CR,Weak,Perfect,GBIF,,Aphelenchus Parietinus
46,APLECTANA ITZOCANENSIS,Nematoda,LC,Weak,Excellent,GBIF USNPC,,Aplectana Itzocanensis
47,APORCELAIMELLUS OBTUSICAUDATUS,Nematoda,LC,Weak,Perfect,GBIF,,Aporcelaimellus Obtusicaudatus
48,ARALICHUS NOBILIS,Astigmata,VU,Good,Perfect,Feathermites,,Aralichus Nobilis
49,ARCHAEOPSYLLA ERINACEI,Siphonaptera,LC,Excellent,Perfect,Vectormap GBIF,,Archaeopsylla Erinacei
50,ARGAS BRUMPTI,Ixodida,VU,Fair,Perfect,Cumming GBIF,,Argas Brumpti
51,ARGAS CONFUSUS,Ixodida,EN,Fair,Perfect,Cumming,,Argas Confusus
52,ARGAS PERSICUS,Ixodida,LC,Excellent,Perfect,Cumming GBIF,,Argas Persicus
53,ARGAS VESPERTILIONIS,Ixodida,VU,Weak,Perfect,Cumming,,Argas Vespertilionis
54,ARGAS WALKERAE,Ixodida,VU,Fair,Perfect,Cumming GBIF,,Argas Walkerae
55,ARHYTHMORHYNCHUS BREVIS,Acanthocephala,LC,Weak,Perfect,GBIF,,Arhythmorhynchus Brevis
56,ASCARIDIA BONASAE,Nematoda,CR,Fair,Perfect,GBIF,,Ascaridia Bonasae
57,ASCARIDIA COLUMBAE,Nematoda,LC,Fair,Fair,GBIF USNPC,,Ascaridia Columbae
58,ASCARIDIA GALLI,Nematoda,LC,Fair,Fair,GBIF USNPC,,Ascaridia Galli
59,ASCARIDIA LINEATA,Nematoda,LC,Fair,Excellent,GBIF USNPC,,Ascaridia Lineata
60,ASCARIS LUMBRICOIDES,Nematoda,LC,Good,Excellent,GBIF USNPC,,Ascaris Lumbricoides
61,ASCARIS SUUM,Nematoda,LC,Fair,Fair,GBIF USNPC,,Ascaris Suum
62,ASCOCOTYLE LONGA,Trematoda,LC,Excellent,Perfect,GBIF,,Ascocotyle Longa
63,ASCOCOTYLE TENUICOLLIS,Trematoda,LC,Fair,Perfect,GBIF,,Ascocotyle Tenuicollis
64,BAYLISASCARIS PROCYONIS,Nematoda,LC,Fair,Perfect,USNPC,,Baylisascaris Procyonis
65,BOTHRIOCEPHALUS CUSPIDATUS,Cestoda,LC,Fair,Good,USNPC,,Bothriocephalus Cuspidatus
66,BOTHRIOCROTON HYDROSAURI,Ixodida,VU,Fair,Perfect,GBIF,,Bothriocroton Hydrosauri
67,BRACHYCOELIUM SALAMANDRAE,Trematoda,LC,Fair,Excellent,GBIF USNPC,,Brachycoelium Salamandrae
68,BUNOSTOMUM PHLEBOTOMUM,Nematoda,LC,Weak,Good,GBIF USNPC,,Bunostomum Phlebotomum
69,BUNOSTOMUM TRIGONOCEPHALUM,Nematoda,LC,Fair,Good,GBIF USNPC,,Bunostomum Trigonocephalum
70,CAMALLANUS OXYCEPHALUS,Nematoda,LC,Fair,Excellent,GBIF USNPC,,Camallanus Oxycephalus
71,CAPILLARIA CONTORTA,Nematoda,LC,Good,Fair,GBIF,,Capillaria Contorta
72,CAPILLARIA TENUISSIMA,Nematoda,CR,Fair,Perfect,GBIF,,Capillaria Tenuissima
73,CARIOS VESPERTILIONIS,Ixodida,VU,Excellent,Perfect,GBIF,,Carios Vespertilionis
74,CENTROCESTUS FORMOSANUS,Trematoda,LC,Weak,Perfect,GBIF,,Centrocestus Formosanus
75,CEPHALURIS COLORADENSIS,Nematoda,EN,Weak,Weak,GBIF USNPC,,Cephaluris Coloradensis
76,CERATOPHYLLUS FARRENI,Siphonaptera,CR,Weak,Perfect,GBIF,,Ceratophyllus Farreni
77,CERATOPHYLLUS GALLINAE,Siphonaptera,VU,Excellent,Perfect,GBIF,,Ceratophyllus Gallinae
78,CERATOPHYLLUS GAREI,Siphonaptera,VU,Weak,Perfect,GBIF,,Ceratophyllus Garei
79,CERATOPHYLLUS HIRUNDINIS,Siphonaptera,VU,Good,Perfect,GBIF,,Ceratophyllus Hirundinis
80,CERATOPHYLLUS STYX,Siphonaptera,EN,Good,Perfect,GBIF,,Ceratophyllus Styx
81,CHABERTIA OVINA,Nematoda,LC,Weak,Excellent,GBIF | USNPC,,Chabertia Ovina
82,CHAETODACTYLUS KROMBEINI,Astigmata,LC,Weak,Perfect,BeeMites | GBIF,,Chaetodactylus Krombeini
83,CHAETODACTYLUS MICHENERI,Astigmata,VU,Good,Perfect,BeeMites,,Chaetodactylus Micheneri
84,CHAETODACTYLUS SP.,Astigmata,VU,Good,Perfect,BeeMites,,Chaetodactylus Sp.
85,CHEILOSPIRURA HAMULOSA,Nematoda,LC,Weak,Fair,GBIF | USNPC,,Cheilospirura Hamulosa
86,CICHLASOTREMA UJATI,Trematoda,LC,Fair,Perfect,GBIF,,Cichlasotrema Ujati
87,CITELLINEMA BIFURCATUM,Nematoda,VU,Fair,Fair,GBIF | USNPC,,Citellinema Bifurcatum
88,CITTOTAENIA VARIABILIS,Cestoda,LC,Fair,Weak,USNPC,,Cittotaenia Variabilis
89,CLARKUS PAPILLATUS,Nematoda,EN,Weak,Perfect,GBIF,,Clarkus Papillatus
90,CLINOSTOMUM COMPLANATUM,Trematoda,LC,Excellent,Excellent,GBIF | USNPC,,Clinostomum Complanatum
91,CLONORCHIS SINENSIS,Trematoda,LC,Fair,Weak,GBIF | USNPC,,Clonorchis Sinensis
92,CONTRACAECUM MULTIPAPILLATUM,Nematoda,LC,Good,Good,GBIF | USNPC,,Contracaecum Multipapillatum
93,CONTRACAECUM SPICULIGERUM,Nematoda,LC,Fair,Excellent,GBIF | USNPC,,Contracaecum Spiculigerum
94,COOPERIA CURTICEI,Nematoda,LC,Weak,Excellent,GBIF | USNPC,,Cooperia Curticei
95,COOPERIA ONCOPHORA,Nematoda,LC,Good,Good,GBIF | USNPC,,Cooperia Oncophora
96,COOPERIA PUNCTATA,Nematoda,LC,Good,Good,GBIF | USNPC,,Cooperia Punctata
97,COOPERIA SURNABADA,Nematoda,LC,Fair,Excellent,USNPC,,Cooperia Surnabada
98,CORACIACARUS CUCULI,Astigmata,LC,Fair,Perfect,Feathermites,,Coraciacarus Cuculi
99,CORALLOBOTHRIUM FIMBRIATUM,Cestoda,LC,Good,Excellent,GBIF | USNPC,,Corallobothrium Fimbriatum
100,CORYNOSOMA CONSTRICTUM,Acanthocephala,LC,Fair,Good,GBIF | USNPC,,Corynosoma Constrictum
101,COSMOCERCOIDES DUKAE,Nematoda,LC,Fair,Weak,GBIF | USNPC,,Cosmocercoides Dukae
102,COSMOCERCOIDES VARIABILIS,Nematoda,LC,Good,Weak,GBIF | USNPC,,Cosmocercoides Variabilis
103,CRASSICUTIS CICHLASOMAE,Trematoda,LC,Excellent,Perfect,GBIF,,Crassicutis Cichlasomae
104,CREPIDOSTOMUM COOPERI,Trematoda,LC,Good,Good,GBIF,,Crepidostomum Cooperi
105,CREPIDOSTOMUM CORNUTUM,Trematoda,LC,Good,Good,GBIF,,Crepidostomum Cornutum
106,CREPIDOSTOMUM FARIONIS,Trematoda,VU,Good,Excellent,GBIF,,Crepidostomum Farionis
107,CRUZIA TENTACULATA,Nematoda,LC,Fair,Excellent,GBIF,,Cruzia Tentaculata
108,CTENOCEPHALIDES CANIS,Siphonaptera,VU,Excellent,Perfect,Vectormap,,Ctenocephalides Canis
109,CTENOCEPHALIDES FELIS,Siphonaptera,LC,Excellent,Perfect,Vectormap,,Ctenocephalides Felis
110,CTENOPHTHALMUS AGYRTES,Siphonaptera,VU,Excellent,Perfect,GBIF,,Ctenophthalmus Agyrtes
111,CTENOPHTHALMUS ASSIMILIS,Siphonaptera,EN,Excellent,Perfect,GBIF,,Ctenophthalmus Assimilis
112,CTENOPHTHALMUS BISOCTODENTATUS,Siphonaptera,VU,Weak,Perfect,GBIF,,Ctenophthalmus Bisoctodentatus
113,CTENOPHTHALMUS CONGENER,Siphonaptera,VU,Excellent,Perfect,GBIF,,Ctenophthalmus Congener
114,CTENOPHTHALMUS HAAGI,Siphonaptera,EN,Weak,Perfect,GBIF,,Ctenophthalmus Haagi
115,CTENOPHTHALMUS NIFETODES,Siphonaptera,VU,Fair,Perfect,GBIF,,Ctenophthalmus Nifetodes
116,CTENOPHTHALMUS NOBILIS,Siphonaptera,EN,Excellent,Perfect,GBIF,,Ctenophthalmus Nobilis
117,CTENOPHTHALMUS ORIENTALIS,Siphonaptera,VU,Weak,Perfect,GBIF,,Ctenophthalmus Orientalis
118,CTENOPHTHALMUS PSEUDAGYRTES,Siphonaptera,VU,Weak,Perfect,GBIF,,Ctenophthalmus Pseudagyrtes
119,CYATHOSTOMUM CATINATUM,Nematoda,LC,Fair,Fair,GBIF,,Cyathostomum Catinatum
120,CYLICOCYCLUS INSIGNE,Nematoda,LC,Weak,Weak,GBIF,,Cylicocyclus Insigne
121,CYLICOCYCLUS NASSATUS,Nematoda,LC,Fair,Good,GBIF,,Cylicocyclus Nassatus
122,CYLINDROTAENIA AMERICANA,Cestoda,LC,Weak,Weak,USNPC,,Cylindrotaenia Americana
123,DASYPSYLLUS GALLINULAE,Siphonaptera,VU,Excellent,Perfect,GBIF,,Dasypsyllus Gallinulae
124,DAVAINEA CESTICILLUS,Cestoda,VU,Weak,Fair,USNPC,,Davainea Cesticillus
125,DAVAINEA TETRAGONA,Cestoda,LC,Weak,Fair,USNPC,,Davainea Tetragona
126,DERMACENTOR ALBIPICTUS,Ixodida,LC,Excellent,Excellent,GBIF,,Dermacentor Albipictus
127,DERMACENTOR ANDERSONI,Ixodida,VU,Excellent,Excellent,GBIF,,Dermacentor Andersoni
128,DERMACENTOR CIRCUMGUTTATUS,Ixodida,LC,Good,Perfect,Cumming,,Dermacentor Circumguttatus
129,DERMACENTOR NITENS,Ixodida,LC,Fair,Fair,GBIF,,Dermacentor Nitens
130,DERMACENTOR OCCIDENTALIS,Ixodida,LC,Fair,Perfect,GBIF,,Dermacentor Occidentalis
131,DERMACENTOR RETICULATUS,Ixodida,LC,Fair,Perfect,GBIF,,Dermacentor Reticulatus
132,DERMACENTOR RHINOCERINUS,Ixodida,VU,Excellent,Perfect,Cumming,,Dermacentor Rhinocerinus
133,DERMACENTOR VARIABILIS,Ixodida,VU,Excellent,Excellent,GBIF,,Dermacentor Variabilis
134,DERMATOXYS VELIGERA,Nematoda,LC,Fair,Excellent,GBIF,,Dermatoxys Veligera
135,DICTYOCAULUS FILARIA,Nematoda,LC,Weak,Good,GBIF,,Dictyocaulus Filaria
136,DICTYOCAULUS VIVIPARUS,Nematoda,LC,Excellent,Fair,GBIF,,Dictyocaulus Viviparus
137,DIPETALONEMA GRACILE,Nematoda,LC,Fair,Good,GBIF,,Dipetalonema Gracile
138,DIPHYLLOBOTHRIUM LATUM,Cestoda,LC,Fair,Fair,GBIF,,Diphyllobothrium Latum
139,DIPLOLAIMELLOIDES OSCHEI,Nematoda,VU,Weak,Perfect,GBIF,,Diplolaimelloides Oschei
140,DIPYLIDIUM CANINUM,Cestoda,LC,Good,Fair,USNPC,,Dipylidium Caninum
141,DIROFILARIA IMMITIS,Nematoda,VU,Excellent,Weak,GBIF,,Dirofilaria Immitis
142,DISPHARYNX SPIRALIS,Nematoda,VU,Fair,Good,GBIF,,Dispharynx Spiralis
143,DORATOPSYLLA DASYCNEMA,Siphonaptera,VU,Excellent,Perfect,GBIF,,Doratopsylla Dasycnema
144,DORYLAIMUS CARTERI,Nematoda,EN,Good,Perfect,GBIF,,Dorylaimus Carteri
145,DORYLAIMUS FILIFORMIS,Nematoda,EN,Fair,Perfect,GBIF,,Dorylaimus Filiformis
146,DORYLAIMUS STAGNALIS,Nematoda,EN,Fair,Perfect,GBIF,,Dorylaimus Stagnalis
147,DRACUNCULUS INSIGNIS,Nematoda,LC,Weak,Weak,GBIF,,Dracunculus Insignis
148,ECHIDNOPHAGA GALLINACEA,Siphonaptera,VU,Excellent,Perfect,Vectormap,,Echidnophaga Gallinacea
149,ECHINOCOCCUS GRANULOSUS,Cestoda,LC,Weak,Weak,USNPC,,Echinococcus Granulosus
150,ECHINORHYNCHUS GADI,Acanthocephala,LC,Good,Excellent,GBIF,,Echinorhynchus Gadi
151,ECHINORHYNCHUS SALMONIS,Acanthocephala,VU,Fair,Good,GBIF,,Echinorhynchus Salmonis
152,ECHINOSTOMA COALITUM,Trematoda,VU,Fair,Fair,GBIF,,Echinostoma Coalitum
153,ECHINOSTOMA REVOLUTUM,Trematoda,VU,Good,Good,GBIF,,Echinostoma Revolutum
154,ELAEOPHORA SCHNEIDERI,Nematoda,LC,Fair,Weak,USNPC,,Elaeophora Schneideri
155,ENCYCLOMETRA COLUBRIMURORUM,Trematoda,LC,Fair,Good,GBIF,,Encyclometra Colubrimurorum
156,ETHMOLAIMUS PRATENSIS,Nematoda,EN,Weak,Perfect,GBIF,,Ethmolaimus Pratensis
157,EUGENURIS SP.,Nematoda,EN,Fair,Weak,USNPC,,Eugenuris Sp.
158,EUPARYPHIUM INERME,Trematoda,VU,Weak,Excellent,USNPC,,Euparyphium Inerme
159,FALCULIFER ROSTRATUS,Astigmata,LC,Fair,Perfect,Feathermites,,Falculifer Rostratus
160,FASCIOLA HEPATICA,Trematoda,LC,Excellent,Weak,GBIF,,Fasciola Hepatica
161,FASCIOLOIDES MAGNA,Trematoda,LC,Good,Fair,GBIF,,Fascioloides Magna
162,GABUCINIA DELIBATA,Astigmata,LC,Fair,Perfect,Feathermites,,Gabucinia Delibata
163,GENARCHELLA ISABELLAE,Trematoda,LC,Fair,Perfect,GBIF,,Genarchella Isabellae
164,GLYPTHELMIS QUIETA,Trematoda,LC,Good,Perfect,USNPC,,Glypthelmis Quieta
165,GONGYLONEMA NEOPLASTICUM,Nematoda,LC,Weak,Fair,GBIF,,Gongylonema Neoplasticum
166,GONGYLONEMA PULCHRUM,Nematoda,LC,Good,Weak,GBIF,,Gongylonema Pulchrum
167,GONGYLONEMA SCUTATUM,Nematoda,LC,Weak,Weak,USNPC,,Gongylonema Scutatum
168,GONGYLONEMA VERRUCOSUM,Nematoda,LC,Weak,Fair,GBIF,,Gongylonema Verrucosum
169,GRAPHIDIELLA OCHOTONAE,Nematoda,EN,Weak,Good,USNPC,,Graphidiella Ochotonae
170,HABRONEMA MUSCAE,Nematoda,LC,Weak,Weak,GBIF,,Habronema Muscae
171,HAEMAPHYSALIS ACICULIFER,Ixodida,EN,Excellent,Perfect,Cumming,,Haemaphysalis Aciculifer
172,HAEMAPHYSALIS CORNIGERA,Ixodida,LC,Weak,Perfect,GBIF,,Haemaphysalis Cornigera
173,HAEMAPHYSALIS HOODI,Ixodida,LC,Good,Perfect,Cumming,,Haemaphysalis Hoodi
174,HAEMAPHYSALIS HOUYI,Ixodida,LC,Good,Perfect,Cumming,,Haemaphysalis Houyi
175,HAEMAPHYSALIS LEACHI,Ixodida,VU,Excellent,Perfect,Cumming,,Haemaphysalis Leachi
176,HAEMAPHYSALIS LEPORISPALUSTRIS,Ixodida,LC,Excellent,Excellent,GBIF,,Haemaphysalis Leporispalustris
177,HAEMAPHYSALIS MORELI,Ixodida,VU,Good,Perfect,Cumming,,Haemaphysalis Moreli
178,HAEMAPHYSALIS PARALEACHI,Ixodida,VU,Good,Perfect,Cumming,,Haemaphysalis Paraleachi
179,HAEMAPHYSALIS PARMATA,Ixodida,VU,Excellent,Perfect,Cumming,,Haemaphysalis Parmata
180,HAEMAPHYSALIS PUNCTATA,Ixodida,VU,Fair,Perfect,Cumming,,Haemaphysalis Punctata
181,HAEMAPHYSALIS SILACEA,Ixodida,VU,Weak,Perfect,Cumming,,Haemaphysalis Silacea
182,HAEMAPHYSALIS SPINULOSA,Ixodida,VU,Excellent,Perfect,Cumming,,Haemaphysalis Spinulosa
183,HAEMATOPINUS EURYSTERNUS,Phthiraptera,VU,Weak,Fair,GBIF,,Haematopinus Eurysternus
184,HAEMONCHUS CONTORTUS,Nematoda,LC,Excellent,Good,GBIF,,Haemonchus Contortus
185,HAEMONCHUS PLACEI,Nematoda,LC,Fair,Weak,USNPC,,Haemonchus Placei
186,HELICOTYLENCHUS DIHYSTERA,Nematoda,VU,Fair,Perfect,GBIF,,Helicotylenchus Dihystera
187,HETERAKIS GALLINAE,Nematoda,EN,Good,Perfect,GBIF,,Heterakis Gallinae
188,HETERAKIS PAPILLOSA,Nematoda,LC,Fair,Excellent,GBIF,,Heterakis Papillosa
189,HETERAKIS PERSPICILLUM,Nematoda,VU,Weak,Fair,USNPC,,Heterakis Perspicillum
190,HETERAKIS SPUMOSA,Nematoda,LC,Fair,Good,GBIF,,Heterakis Spumosa
191,HETEROXYNEMA CUCULLATUM,Nematoda,VU,Excellent,Perfect,GBIF,,Heteroxynema Cucullatum
192,HEXAGLANDULA MUTABILIS,Acanthocephala,LC,Weak,Perfect,GBIF,,Hexaglandula Mutabilis
193,HOPLOPLEURA ARBORICOLA,Phthiraptera,EN,Excellent,Perfect,GBIF,,Hoplopleura Arboricola
194,HORSTIA SP.,Astigmata,LC,Weak,Perfect,BeeMites,,Horstia Sp.
195,HYALOMMA AEGYPTIUM,Ixodida,VU,Excellent,Perfect,Cumming,,Hyalomma Aegyptium
196,HYALOMMA ALBIPARMATUM,Ixodida,EN,Excellent,Perfect,Cumming,,Hyalomma Albiparmatum
197,HYALOMMA ANATOLICUM,Ixodida,LC,Excellent,Perfect,Cumming,,Hyalomma Anatolicum
198,HYALOMMA DROMEDARII,Ixodida,VU,Excellent,Perfect,Cumming,,Hyalomma Dromedarii
199,HYALOMMA IMPELTATUM,Ixodida,VU,Excellent,Perfect,Cumming,,Hyalomma Impeltatum
200,HYALOMMA IMPRESSUM,Ixodida,LC,Excellent,Perfect,Cumming,,Hyalomma Impressum
201,HYALOMMA RUFIPES,Ixodida,VU,Excellent,Perfect,Cumming,,Hyalomma Rufipes
202,HYALOMMA TRUNCATUM,Ixodida,VU,Excellent,Perfect,Cumming,,Hyalomma Truncatum
203,HYALOMMA TURANICUM,Ixodida,LC,Fair,Perfect,GBIF,,Hyalomma Turanicum
204,HYMENOLEPIS DIMINUTA,Cestoda,LC,Good,Fair,USNPC,,Hymenolepis Diminuta
205,HYPOPI SP.,Astigmata,LC,Weak,Perfect,BeeMites,,Hypopi Sp.
206,HYSTRICHOPSYLLA ORIENTALIS,Siphonaptera,VU,Good,Perfect,GBIF,,Hystrichopsylla Orientalis
207,HYSTRICHOPSYLLA TALPAE,Siphonaptera,VU,Excellent,Perfect,GBIF,,Hystrichopsylla Talpae
208,IRONUS IGNAVUS,Nematoda,VU,Weak,Perfect,GBIF,,Ironus Ignavus
209,ISCHNOPSYLLUS HEXACTENUS,Siphonaptera,EN,Fair,Perfect,GBIF,,Ischnopsyllus Hexactenus
210,ISCHNOPSYLLUS INTERMEDIUS,Siphonaptera,VU,Weak,Perfect,GBIF,,Ischnopsyllus Intermedius
211,ISCHNOPSYLLUS OCTACTENUS,Siphonaptera,EN,Good,Perfect,GBIF,,Ischnopsyllus Octactenus
212,IXODES ANGUSTUS,Ixodida,VU,Good,Perfect,GBIF,,Ixodes Angustus
213,IXODES ARAGAOI,Ixodida,EN,Excellent,Perfect,GBIF,,Ixodes Aragaoi
214,IXODES ARBORICOLA,Ixodida,VU,Good,Perfect,GBIF,,Ixodes Arboricola
215,IXODES CAVIPALPUS,Ixodida,EN,Excellent,Perfect,Cumming,,Ixodes Cavipalpus
216,IXODES COOKEI,Ixodida,LC,Weak,Perfect,GBIF,,Ixodes Cookei
217,IXODES CUMULATIMPUNCTATUS,Ixodida,VU,Good,Perfect,Cumming,,Ixodes Cumulatimpunctatus
218,IXODES FRONTALIS,Ixodida,VU,Good,Perfect,Cumming,,Ixodes Frontalis
219,IXODES HEXAGONUS,Ixodida,VU,Excellent,Perfect,Cumming,,Ixodes Hexagonus
220,IXODES HOLOCYCLUS,Ixodida,VU,Excellent,Perfect,GBIF,,Ixodes Holocyclus
221,IXODES KINGI,Ixodida,VU,Good,Perfect,GBIF,,Ixodes Kingi
222,IXODES LEWISI,Ixodida,EN,Fair,Perfect,Cumming,,Ixodes Lewisi
223,IXODES LIVIDUS,Ixodida,VU,Good,Perfect,GBIF,,Ixodes Lividus
224,IXODES MUNIENSIS,Ixodida,LC,Fair,Perfect,Cumming,,Ixodes Muniensis
225,IXODES PACIFICUS,Ixodida,LC,Fair,Perfect,GBIF,,Ixodes Pacificus
226,IXODES PILOSUS,Ixodida,VU,Excellent,Perfect,Cumming,,Ixodes Pilosus
227,IXODES RASUS,Ixodida,LC,Good,Perfect,Cumming,,Ixodes Rasus
228,IXODES RUBICUNDUS,Ixodida,EN,Good,Perfect,Cumming,,Ixodes Rubicundus
229,IXODES SCAPULARIS,Ixodida,LC,Excellent,Excellent,GBIF,,Ixodes Scapularis
230,IXODES SCULPTUS,Ixodida,EN,Excellent,Perfect,GBIF,,Ixodes Sculptus
231,IXODES SIMPLEX,Ixodida,EN,Weak,Perfect,Cumming,,Ixodes Simplex
232,IXODES SPINIPALPIS,Ixodida,LC,Weak,Perfect,GBIF,,Ixodes Spinipalpis
233,IXODES TRIANGULICEPS,Ixodida,VU,Excellent,Perfect,GBIF,,Ixodes Trianguliceps
234,JELLISONIA BONIA,Siphonaptera,VU,Weak,Perfect,GBIF,,Jellisonia Bonia
235,JELLISONIA GRAYI,Siphonaptera,LC,Weak,Perfect,GBIF,,Jellisonia Grayi
