,Scientific Name,clade,iucn,coverage,uncertain,sources,,proper-names
236,JELLISONIA HAYESI,Siphonaptera,VU,Good,Perfect,GBIF,,Jellisonia Hayesi
237,JELLISONIA KLOTSI,Siphonaptera,VU,Weak,Perfect,GBIF,,Jellisonia Klotsi
238,JELLISONIA WISEMANI,Siphonaptera,VU,Weak,Perfect,GBIF,,Jellisonia Wisemani
239,KALICEPHALUS COSTATUS INDICUS,Nematoda,LC,Fair,Good,USNPC,,Kalicephalus Costatus Indicus
240,KALICEPHALUS VIPERAE CHUNGKINGENSIS,Nematoda,LC,Weak,Excellent,USNPC,,Kalicephalus Viperae Chungkingensis
241,KOHLSIA PELAEZI,Siphonaptera,VU,Fair,Perfect,GBIF,,Kohlsia Pelaezi
242,LABIOSTOMUM RAUSCHI,Nematoda,EN,Weak,Weak,USNPC,,Labiostomum Rauschi
243,LEPTOLAIMUS PUCCINELLIAE,Nematoda,VU,Weak,Perfect,GBIF,,Leptolaimus Puccinelliae
244,LEPTOPSYLLA SEGNIS,Siphonaptera,VU,Excellent,Perfect,GBIF,,Leptopsylla Segnis
245,LEPTOPSYLLA TASCHENBERGI,Siphonaptera,EN,Weak,Perfect,GBIF,,Leptopsylla Taschenbergi
246,LEPTORHYNCHOIDES THECATUS,Acanthocephala,EN,Excellent,Excellent,GBIF,,Leptorhynchoides Thecatus
247,LIGULA INTESTINALIS,Cestoda,VU,Good,Excellent,GBIF,,Ligula Intestinalis
248,MACRACANTHORHYNCHUS INGENS,Acanthocephala,LC,Fair,Weak,GBIF,,Macracanthorhynchus Ingens
249,MACROPOSTHONIA ORNATA,Nematoda,VU,Weak,Perfect,GBIF,,Macroposthonia Ornata
250,MARGAROPUS WINTHEMI,Ixodida,EN,Excellent,Perfect,Cumming,,Margaropus Winthemi
251,MARSHALLAGIA MARSHALLI,Nematoda,LC,Weak,Fair,GBIF,,Marshallagia Marshalli
252,MAZAMASTRONGYLUS ODOCOILEI,Nematoda,EN,Good,Weak,USNPC,,Mazamastrongylus Odocoilei
253,MAZAMASTRONGYLUS PURSGLOVEI,Nematoda,LC,Weak,Weak,USNPC,,Mazamastrongylus Pursglovei
254,MEDIORHYNCHUS GRANDIS,Acanthocephala,LC,Fair,Fair,GBIF,,Mediorhynchus Grandis
255,MEGABOTHRIS ABANTIS,Siphonaptera,VU,Good,Perfect,Vectormap,,Megabothris Abantis
256,MEGABOTHRIS TURBIDUS,Siphonaptera,EN,Excellent,Perfect,GBIF,,Megabothris Turbidus
257,MEGALODISCUS TEMPERATUS,Trematoda,LC,Good,Excellent,GBIF,,Megalodiscus Temperatus
258,MESOCESTOIDES LINEATUS,Cestoda,VU,Good,Perfect,GBIF,,Mesocestoides Lineatus
259,MESOCOELIUM MONAS,Trematoda,LC,Good,Good,GBIF,,Mesocoelium Monas
260,METALINHOMOEUS PARAFILIFORMIS,Nematoda,VU,Weak,Perfect,GBIF,,Metalinhomoeus Parafiliformis
261,METASTRONGYLUS ELONGATUS,Nematoda,LC,Weak,Fair,GBIF,,Metastrongylus Elongatus
262,METROLIASTHES LUCIDA,Cestoda,LC,Fair,Weak,GBIF,,Metroliasthes Lucida
263,MEXICONEMA CICHLASOMAE,Nematoda,LC,Weak,Perfect,GBIF,,Mexiconema Cichlasomae
264,MOLINEUS BARBATUS,Nematoda,VU,Good,Excellent,GBIF,,Molineus Barbatus
265,MONHYSTERA FILIFORMIS,Nematoda,CR,Weak,Perfect,GBIF,,Monhystera Filiformis
266,MONIEZIA BENEDENI,Cestoda,LC,Weak,Fair,USNPC,,Moniezia Benedeni
267,MONIEZIA EXPANSA,Cestoda,LC,Fair,Weak,USNPC,,Moniezia Expansa
268,MONILIFORMIS MONILIFORMIS,Acanthocephala,LC,Fair,Weak,GBIF,,Moniliformis Moniliformis
269,MONOPSYLLUS SCIURORUM,Siphonaptera,VU,Excellent,Perfect,GBIF,,Monopsyllus Sciurorum
270,MYLONCHULUS BRACHYURIS,Nematoda,VU,Good,Perfect,GBIF,,Mylonchulus Brachyuris
271,MYLONCHULUS MINOR,Nematoda,LC,Weak,Perfect,GBIF,,Mylonchulus Minor
272,MYLONCHULUS SIGMATURUS,Nematoda,VU,Weak,Perfect,GBIF,,Mylonchulus Sigmaturus
273,NEMATODIRUS ABNORMALIS,Nematoda,LC,Fair,Good,USNPC,,Nematodirus Abnormalis
274,NEMATODIRUS FILICOLLIS,Nematoda,VU,Fair,Weak,GBIF,,Nematodirus Filicollis
275,NEMATODIRUS HELVETIANUS,Nematoda,EN,Good,Good,USNPC,,Nematodirus Helvetianus
276,NEMATODIRUS SPATHIGER,Nematoda,LC,Good,Good,GBIF,,Nematodirus Spathiger
277,NEOECHINORHYNCHUS CYLINDRATUS,Acanthocephala,LC,Good,Excellent,GBIF,,Neoechinorhynchus Cylindratus
278,NEOECHINORHYNCHUS GOLVANI,Acanthocephala,LC,Good,Perfect,GBIF,,Neoechinorhynchus Golvani
279,NEOHAEMATOPINUS PACIFICUS,Phthiraptera,EN,Excellent,Perfect,GBIF,,Neohaematopinus Pacificus
280,NIPPOSTRONGYLUS BRASILIENSIS,Nematoda,LC,Good,Good,GBIF,,Nippostrongylus Brasiliensis
281,NOSOPSYLLUS FASCIATUS,Siphonaptera,VU,Excellent,Perfect,GBIF,,Nosopsyllus Fasciatus
282,NOTOCOTYLUS QUINQUESERIALIS,Trematoda,VU,Good,Fair,USNPC,,Notocotylus Quinqueserialis
283,OBELISCOIDES CUNICULI,Nematoda,LC,Good,Excellent,GBIF,,Obeliscoides Cuniculi
284,OESOPHAGOSTOMUM COLUMBIANUM,Nematoda,LC,Good,Good,GBIF,,Oesophagostomum Columbianum
285,OESOPHAGOSTOMUM DENTATUM,Nematoda,LC,Fair,Weak,GBIF,,Oesophagostomum Dentatum
286,OESOPHAGOSTOMUM RADIATUM,Nematoda,LC,Fair,Fair,GBIF,,Oesophagostomum Radiatum
287,OESOPHAGOSTOMUM VENULOSUM,Nematoda,LC,Fair,Fair,GBIF,,Oesophagostomum Venulosum
288,OLIGOGONOTYLUS MANTERI,Trematoda,LC,Excellent,Perfect,GBIF,,Oligogonotylus Manteri
289,ONCHOCERCA CERVIPEDIS,Nematoda,LC,Weak,Weak,GBIF,,Onchocerca Cervipedis
290,OPHIDASCARIS ROBERTSI,Nematoda,VU,Fair,Perfect,GBIF,,Ophidascaris Robertsi
291,ORCHOPEAS HOWARDI,Siphonaptera,EN,Weak,Perfect,GBIF,,Orchopeas Howardi
292,ORCHOPEAS LEUCOPUS,Siphonaptera,LC,Weak,Perfect,GBIF,,Orchopeas Leucopus
293,ORNITHODOROS ERRATICUS,Ixodida,LC,Fair,Perfect,Cumming,,Ornithodoros Erraticus
294,ORNITHODOROS MOUBATA,Ixodida,EN,Excellent,Perfect,Cumming,,Ornithodoros Moubata
295,ORNITHODOROS SAVIGNYI,Ixodida,LC,Excellent,Perfect,Cumming,,Ornithodoros Savignyi
296,OROPSYLLA HIRSUTA,Siphonaptera,LC,Excellent,Perfect,Vectormap,,Oropsylla Hirsuta
297,OROPSYLLA MONTANA,Siphonaptera,LC,Excellent,Perfect,Vectormap,,Oropsylla Montana
298,OROPSYLLA RUPESTRIS,Siphonaptera,EN,Fair,Perfect,Vectormap,,Oropsylla Rupestris
299,OROPSYLLA TUBERCULATA,Siphonaptera,VU,Excellent,Perfect,Vectormap,,Oropsylla Tuberculata
300,OSTERTAGIA GRUEHNERI,Nematoda,VU,Weak,Fair,USNPC,,Ostertagia Gruehneri
301,OSTERTAGIA MOSSI,Nematoda,LC,Good,Weak,USNPC,,Ostertagia Mossi
302,OSTERTAGIA OSTERTAGI,Nematoda,LC,Excellent,Good,GBIF,,Ostertagia Ostertagi
303,OSWALDOCRUZIA PIPIENS,Nematoda,LC,Good,Fair,GBIF,,Oswaldocruzia Pipiens
304,OTOBIUS MEGNINI,Ixodida,VU,Excellent,Perfect,USNPC,,Otobius Megnini
305,OXYURIS EQUI,Nematoda,LC,Fair,Good,GBIF,,Oxyuris Equi
306,PALAEOPSYLLA KOHAUTI,Siphonaptera,EN,Weak,Perfect,GBIF,,Palaeopsylla Kohauti
307,PALAEOPSYLLA SIMILIS,Siphonaptera,VU,Fair,Perfect,GBIF,,Palaeopsylla Similis
308,PALAEOPSYLLA SORICIS,Siphonaptera,VU,Excellent,Perfect,GBIF,,Palaeopsylla Soricis
309,PANAGROLAIMUS RIGIDUS,Nematoda,EN,Weak,Perfect,GBIF,,Panagrolaimus Rigidus
310,PARAETHMOLAIMUS DAHLI,Nematoda,LC,Fair,Perfect,GBIF,,Paraethmolaimus Dahli
311,PARAGONIMUS KELLICOTTI,Trematoda,LC,Fair,Good,GBIF,,Paragonimus Kellicotti
312,PARAGONIMUS WESTERMANII,Trematoda,LC,Weak,Weak,USNPC,,Paragonimus Westermanii
313,PARAMPHISTOMUM CERVI,Trematoda,LC,Fair,Fair,GBIF,,Paramphistomum Cervi
314,PARAMPHISTOMUM LIORCHIS,Trematoda,LC,Weak,Weak,USNPC,,Paramphistomum Liorchis
315,PARAMPHISTOMUM MICROBOTHRIOIDES,Trematoda,LC,Weak,Weak,USNPC,,Paramphistomum Microbothrioides
316,PARELAPHOSTRONGYLUS ODOCOILEI,Nematoda,EN,Weak,Weak,USNPC,,Parelaphostrongylus Odocoilei
317,PARELAPHOSTRONGYLUS TENUIS,Nematoda,LC,Weak,Weak,USNPC,,Parelaphostrongylus Tenuis
318,PEROMYSCOPSYLLA BIDENTATA,Siphonaptera,EN,Weak,Perfect,GBIF,,Peromyscopsylla Bidentata
319,PEROMYSCOPSYLLA FALLAX,Siphonaptera,VU,Fair,Perfect,GBIF,,Peromyscopsylla Fallax
320,PHARYNGOSTOMOIDES PROCYONIS,Trematoda,VU,Good,Perfect,GBIF,,Pharyngostomoides Procyonis
321,PHILOPTERUS CINCLI,Phthiraptera,EN,Weak,Perfect,GBIF,,Philopterus Cincli
322,PHYSALOPTERA MAXILLARIS,Nematoda,LC,Good,Good,GBIF,,Physaloptera Maxillaris
323,PHYSALOPTERA PRAEPUTIALIS,Nematoda,VU,Good,Weak,GBIF,,Physaloptera Praeputialis
324,PHYSALOPTERA RARA,Nematoda,EN,Excellent,Excellent,GBIF,,Physaloptera Rara
325,PHYSALOPTERA RETUSA,Nematoda,VU,Good,Good,GBIF,,Physaloptera Retusa
326,PHYSOCEPHALUS SEXALATUS,Nematoda,LC,Fair,Weak,GBIF,,Physocephalus Sexalatus
327,PLAGIORCHIS PROXIMUS,Trematoda,LC,Fair,Good,GBIF,,Plagiorchis Proximus
328,PLAGIORCHIS VESPERTILIONIS,Trematoda,LC,Weak,Perfect,GBIF,,Plagiorchis Vespertilionis
329,PLAGIORHYNCHUS FORMOSUS,Acanthocephala,VU,Weak,Good,USNPC,,Plagiorhynchus Formosus
330,PLECTUS CIRRATUS,Nematoda,EN,Fair,Perfect,GBIF,,Plectus Cirratus
331,PLECTUS COMMUNIS,Nematoda,EN,Fair,Perfect,GBIF,,Plectus Communis
332,PLECTUS PARVUS,Nematoda,EN,Weak,Perfect,GBIF,,Plectus Parvus
333,PLEOCHAETIS MUNDUS,Siphonaptera,VU,Good,Perfect,GBIF,,Pleochaetis Mundus
334,PLEOCHAETIS PARAMUNDUS,Siphonaptera,VU,Weak,Perfect,GBIF,,Pleochaetis Paramundus
335,PLUSAETIS MATHESONI,Siphonaptera,EN,Good,Perfect,GBIF,,Plusaetis Mathesoni
336,PLUSAETIS PARUS,Siphonaptera,VU,Fair,Perfect,GBIF,,Plusaetis Parus
337,PLUSAETIS PONSI,Siphonaptera,EN,Weak,Perfect,GBIF,,Plusaetis Ponsi
338,PLUSAETIS SIBYNUS,Siphonaptera,EN,Fair,Perfect,GBIF,,Plusaetis Sibynus
339,PLUSAETIS SOBERONI,Siphonaptera,VU,Fair,Perfect,GBIF,,Plusaetis Soberoni
340,POLYGENIS GWYNI,Siphonaptera,LC,Good,Perfect,Vectormap,,Polygenis Gwyni
341,POMPHORHYNCHUS BULBOCOLLI,Acanthocephala,LC,Good,Good,GBIF,,Pomphorhynchus Bulbocolli
342,PROCTOPHYLLODES PINNATUS,Astigmata,LC,Weak,Perfect,Feathermites,,Proctophyllodes Pinnatus
343,PROCTOPHYLLODES TRONCATUS,Astigmata,LC,Weak,Perfect,Feathermites,,Proctophyllodes Troncatus
344,PROSTHENORCHIS ELEGANS,Acanthocephala,LC,Weak,Excellent,GBIF,,Prosthenorchis Elegans
345,PROTEOCEPHALUS AMBLOPLITIS,Cestoda,LC,Fair,Excellent,GBIF,,Proteocephalus Ambloplitis
346,PULEX IRRITANS,Siphonaptera,EN,Excellent,Perfect,GBIF,,Pulex Irritans
347,PULEX SIMULANS,Siphonaptera,LC,Weak,Perfect,GBIF,,Pulex Simulans
348,PUNCTODORA RATZEBURGENSIS,Nematoda,CR,Weak,Perfect,GBIF,,Punctodora Ratzeburgensis
349,PYGIOPSYLLA HOPLIA,Siphonaptera,EN,Weak,Perfect,GBIF,,Pygiopsylla Hoplia
350,RAILLIETINA (SKRJABINIA) CESTICILLUS,Cestoda,LC,Fair,Weak,USNPC,,Raillietina (Skrjabinia) Cesticillus
351,RHABDIAS RANAE,Nematoda,LC,Fair,Fair,GBIF,,Rhabdias Ranae
352,RHABDITIS MARINA,Nematoda,LC,Weak,Perfect,GBIF,,Rhabditis Marina
353,RHABDOCHONA KIDDERI,Nematoda,LC,Good,Perfect,GBIF,,Rhabdochona Kidderi
354,RHABDOLAIMUS TERRESTRIS,Nematoda,EN,Weak,Perfect,GBIF,,Rhabdolaimus Terrestris
355,RHADINOPSYLLA INTEGELLA,Siphonaptera,EN,Fair,Perfect,GBIF,,Rhadinopsylla Integella
356,RHIPICENTOR BICORNIS,Ixodida,VU,Fair,Perfect,Cumming,,Rhipicentor Bicornis
357,RHIPICENTOR NUTTALLI,Ixodida,EN,Fair,Perfect,Cumming,,Rhipicentor Nuttalli
358,RHIPICEPHALUS ANNULATUS,Ixodida,LC,Good,Perfect,USNPC,,Rhipicephalus Annulatus
359,RHIPICEPHALUS APPENDICULATUS,Ixodida,EN,Excellent,Perfect,Cumming,,Rhipicephalus Appendiculatus
360,RHIPICEPHALUS BERGEONI,Ixodida,EN,Good,Perfect,Cumming,,Rhipicephalus Bergeoni
361,RHIPICEPHALUS CAPENSIS,Ixodida,VU,Excellent,Perfect,Cumming,,Rhipicephalus Capensis
362,RHIPICEPHALUS CARNIVORALIS,Ixodida,EN,Weak,Perfect,Cumming,,Rhipicephalus Carnivoralis
363,RHIPICEPHALUS COMPLANATUS,Ixodida,LC,Good,Perfect,Cumming,,Rhipicephalus Complanatus
364,RHIPICEPHALUS COMPOSITUS,Ixodida,VU,Excellent,Perfect,Cumming,,Rhipicephalus Compositus
365,RHIPICEPHALUS CUSPIDATUS,Ixodida,LC,Good,Perfect,Cumming,,Rhipicephalus Cuspidatus
366,RHIPICEPHALUS DECOLORATUS,Ixodida,EN,Excellent,Perfect,Cumming,,Rhipicephalus Decoloratus
367,RHIPICEPHALUS DISTINCTUS,Ixodida,EN,Fair,Perfect,Cumming,,Rhipicephalus Distinctus
368,RHIPICEPHALUS DUX,Ixodida,LC,Fair,Perfect,Cumming,,Rhipicephalus Dux
369,RHIPICEPHALUS EVERTSI,Ixodida,EN,Excellent,Perfect,Cumming,,Rhipicephalus Evertsi
370,RHIPICEPHALUS EXOPTHALMOS,Ixodida,VU,Good,Perfect,Cumming,,Rhipicephalus Exopthalmos
371,RHIPICEPHALUS GEIGYI,Ixodida,EN,Excellent,Perfect,Cumming,,Rhipicephalus Geigyi
372,RHIPICEPHALUS GLABROSCUTATUS,Ixodida,LC,Weak,Perfect,Cumming,,Rhipicephalus Glabroscutatus
373,RHIPICEPHALUS GUILHONI,Ixodida,LC,Fair,Perfect,Cumming,,Rhipicephalus Guilhoni
374,RHIPICEPHALUS HAEMAPHYSALOIDES,Ixodida,LC,Weak,Perfect,GBIF,,Rhipicephalus Haemaphysaloides
375,RHIPICEPHALUS HUMERALIS,Ixodida,VU,Good,Perfect,Cumming,,Rhipicephalus Humeralis
376,RHIPICEPHALUS KOCHI GROUP,Ixodida,EN,Excellent,Perfect,Cumming,,Rhipicephalus Kochi Group
377,RHIPICEPHALUS LONGICOXATUS,Ixodida,LC,Weak,Perfect,Cumming,,Rhipicephalus Longicoxatus
378,RHIPICEPHALUS LONGUS,Ixodida,VU,Excellent,Perfect,Cumming,,Rhipicephalus Longus
379,RHIPICEPHALUS LUNULATUS,Ixodida,VU,Excellent,Perfect,Cumming,,Rhipicephalus Lunulatus
380,RHIPICEPHALUS MACULATUS,Ixodida,VU,Excellent,Perfect,Cumming,,Rhipicephalus Maculatus
381,RHIPICEPHALUS MASSEYI,Ixodida,VU,Weak,Perfect,Cumming,,Rhipicephalus Masseyi
382,RHIPICEPHALUS MICROPLUS,Ixodida,EN,Excellent,Perfect,Cumming,,Rhipicephalus Microplus
383,RHIPICEPHALUS MUEHLENSI,Ixodida,VU,Excellent,Perfect,Cumming,,Rhipicephalus Muehlensi
384,RHIPICEPHALUS MUHSAMAE,Ixodida,LC,Good,Perfect,Cumming,,Rhipicephalus Muhsamae
385,RHIPICEPHALUS NITENS,Ixodida,LC,Good,Perfect,Cumming,,Rhipicephalus Nitens
386,RHIPICEPHALUS OCULATUS,Ixodida,VU,Good,Perfect,Cumming,,Rhipicephalus Oculatus
387,RHIPICEPHALUS PILANS,Ixodida,LC,Good,Perfect,GBIF,,Rhipicephalus Pilans
388,RHIPICEPHALUS PLANUS ,Ixodida,VU,Good,Perfect,Cumming,,Rhipicephalus Planus 
389,RHIPICEPHALUS PRAETEXTATUS,Ixodida,EN,Good,Perfect,Cumming,,Rhipicephalus Praetextatus
390,RHIPICEPHALUS PRAVUS,Ixodida,VU,Excellent,Perfect,Cumming,,Rhipicephalus Pravus
391,RHIPICEPHALUS PULCHELLUS,Ixodida,VU,Excellent,Perfect,Cumming,,Rhipicephalus Pulchellus
392,RHIPICEPHALUS PUNCTATUS,Ixodida,EN,Excellent,Perfect,Cumming,,Rhipicephalus Punctatus
393,RHIPICEPHALUS SANGUINEUS,Ixodida,VU,Excellent,Excellent,Cumming,,Rhipicephalus Sanguineus
394,RHIPICEPHALUS SENEGALENSIS,Ixodida,LC,Excellent,Perfect,Cumming,,Rhipicephalus Senegalensis
395,RHIPICEPHALUS SIMPSONI,Ixodida,LC,Fair,Perfect,Cumming,,Rhipicephalus Simpsoni
396,RHIPICEPHALUS SIMUS,Ixodida,EN,Excellent,Perfect,Cumming,,Rhipicephalus Simus
397,RHIPICEPHALUS SULCATUS,Ixodida,VU,Excellent,Perfect,Cumming,,Rhipicephalus Sulcatus
398,RHIPICEPHALUS SUPERTRITUS,Ixodida,EN,Good,Perfect,Cumming,,Rhipicephalus Supertritus
399,RHIPICEPHALUS TRICUSPIS,Ixodida,EN,Excellent,Perfect,Cumming,,Rhipicephalus Tricuspis
400,RHIPICEPHALUS TURANICUS,Ixodida,VU,Good,Perfect,Cumming,,Rhipicephalus Turanicus
401,RHIPICEPHALUS ZAMBEZIENSIS,Ixodida,VU,Excellent,Perfect,Cumming,,Rhipicephalus Zambeziensis
402,RHIPICEPHALUS ZIEMANNI,Ixodida,LC,Good,Perfect,Cumming,,Rhipicephalus Ziemanni
403,RHOPALIAS MACRACANTHUS,Trematoda,VU,Fair,Perfect,GBIF,,Rhopalias Macracanthus
404,SARCOPTES SCABIEI,Astigmata,LC,Fair,Excellent,GBIF,,Sarcoptes Scabiei
405,SCHISTOSOMA HAEMATOBIUM,Trematoda,VU,Excellent,Perfect,GBIF,,Schistosoma Haematobium
406,SCHISTOSOMA MANSONI,Trematoda,CR,Good,Perfect,GBIF,,Schistosoma Mansoni
407,SENNERTIA SP.,Astigmata,VU,Fair,Perfect,BeeMites,,Sennertia Sp.
408,SENNERTIONYX SP.,Astigmata,LC,Weak,Perfect,BeeMites,,Sennertionyx Sp.
409,SETARIA EQUINA,Nematoda,LC,Fair,Fair,GBIF,,Setaria Equina
410,SETARIA LABIATOPAPILLOSA,Nematoda,LC,Good,Weak,GBIF,,Setaria Labiatopapillosa
411,SETARIA YEHI,Nematoda,LC,Fair,Good,USNPC,,Setaria Yehi
412,SOBOLIPHYME BATURINI,Nematoda,EN,Fair,Perfect,GBIF,,Soboliphyme Baturini
413,SPAULIGODON GIGANTICUS,Nematoda,VU,Weak,Fair,USNPC,,Spauligodon Giganticus
414,SPILOPSYLLUS CUNICULI,Siphonaptera,VU,Excellent,Perfect,GBIF,,Spilopsyllus Cuniculi
415,SPIROCAMALLANUS REBECAE,Nematoda,LC,Weak,Perfect,GBIF,,Spirocamallanus Rebecae
416,STICHORCHIS SUBTRIQUETRUS,Trematoda,EN,Fair,Perfect,GBIF,,Stichorchis Subtriquetrus
417,STRIGEA FALCONIS,Trematoda,LC,Weak,Perfect,GBIF,,Strigea Falconis
418,STRONGYLURIS BREVICAUDATA,Nematoda,VU,Weak,Excellent,USNPC,,Strongyluris Brevicaudata
419,STRONGYLUS EDENTATUS,Nematoda,LC,Good,Fair,GBIF,,Strongylus Edentatus
420,STRONGYLUS EQUINUS,Nematoda,LC,Good,Weak,GBIF,,Strongylus Equinus
421,STRONGYLUS VULGARIS,Nematoda,LC,Good,Fair,GBIF,,Strongylus Vulgaris
422,SYNGAMUS TRACHEA,Nematoda,LC,Fair,Good,GBIF,,Syngamus Trachea
423,SYPHACIA EUTAMII,Nematoda,EN,Fair,Perfect,GBIF,,Syphacia Eutamii
424,SYPHACIA OBVELATA,Nematoda,LC,Fair,Excellent,GBIF,,Syphacia Obvelata
425,TABASCOTREMA VERAI,Trematoda,LC,Weak,Perfect,GBIF,,Tabascotrema Verai
426,TAENIA HYDATIGENA,Cestoda,VU,Excellent,Good,USNPC,,Taenia Hydatigena
427,TAENIA PISIFORMIS,Cestoda,LC,Excellent,Fair,USNPC,,Taenia Pisiformis
428,TAENIA SAGINATA,Cestoda,LC,Excellent,Fair,USNPC,,Taenia Saginata
429,TAENIA SERIALIS,Cestoda,LC,Fair,Fair,USNPC,,Taenia Serialis
430,TAENIA SOLIUM ,Cestoda,LC,Fair,Perfect,USNPC,,Taenia Solium 
431,TAENIA TAENIAEFORMIS,Cestoda,VU,Excellent,Excellent,USNPC,,Taenia Taeniaeformis
432,TELADORSAGIA CIRCUMCINCTA,Nematoda,LC,Good,Perfect,GBIF,,Teladorsagia Circumcincta
433,TERATOCEPHALUS TERRESTRIS,Na,NA,Fair,Perfect,GBIF,,Teratocephalus Terrestris
434,THRASSIS BACCHI,Siphonaptera,LC,Weak,Perfect,Vectormap,,Thrassis Bacchi
435,THRASSIS BACCHI BACCHI,Siphonaptera,LC,Fair,Perfect,Vectormap,,Thrassis Bacchi Bacchi
436,THRASSIS BACCHI GLADIOLIS,Siphonaptera,LC,Weak,Perfect,Vectormap,,Thrassis Bacchi Gladiolis
437,THYSANOSOMA ACTINIOIDES,Cestoda,LC,Good,Weak,USNPC,,Thysanosoma Actinioides
438,TOBRILUS GRACILIS,Nematoda,EN,Weak,Perfect,GBIF,,Tobrilus Gracilis
439,TORTONIA SP.,Astigmata,VU,Good,Perfect,BeeMites,,Tortonia Sp.
440,TOXASCARIS LEONINA,Nematoda,VU,Excellent,Excellent,GBIF,,Toxascaris Leonina
441,TOXOCARA CANIS,Nematoda,VU,Good,Excellent,GBIF,,Toxocara Canis
442,TOXOCARA CATI,Nematoda,LC,Good,Good,GBIF,,Toxocara Cati
443,TOXOCARA MYSTAX,Nematoda,LC,Good,Excellent,GBIF,,Toxocara Mystax
444,TRAVASSOSIUS AMERICANUS,Nematoda,CR,Fair,Perfect,GBIF,,Travassosius Americanus
445,TRICHINELLA SPIRALIS,Nematoda,LC,Weak,Weak,GBIF,,Trichinella Spiralis
446,TRICHODECTES ERMINEAE,Phthiraptera,EN,Good,Perfect,GBIF,,Trichodectes Ermineae
447,TRICHOSTRONGYLUS AXEI,Nematoda,LC,Good,Fair,GBIF,,Trichostrongylus Axei
448,TRICHOSTRONGYLUS CALCARATUS,Nematoda,LC,Fair,Good,GBIF,,Trichostrongylus Calcaratus
449,TRICHOSTRONGYLUS COLUBRIFORMIS,Nematoda,VU,Good,Excellent,GBIF,,Trichostrongylus Colubriformis
450,TRICHURIS OVIS,Nematoda,LC,Good,Good,GBIF,,Trichuris Ovis
451,TURGIDA TURGIDA,Nematoda,LC,Good,Perfect,GBIF,,Turgida Turgida
452,TYROPHAGUS PUTRESCENTIAE,Astigmata,LC,Fair,Perfect,BeeMites,,Tyrophagus Putrescentiae
453,TYROPHAGUS SIMILIS,Astigmata,LC,Weak,Perfect,GBIF,,Tyrophagus Similis
454,VIDIA SP.,Astigmata,LC,Weak,Perfect,BeeMites,,Vidia Sp.
455,XENOPSYLLA CHEOPIS,Siphonaptera,VU,Excellent,Perfect,Vectormap,,Xenopsylla Cheopis
456,XIPHINEMA ELONGATUM,Nematoda,LC,Weak,Perfect,GBIF,,Xiphinema Elongatum
457,XIPHINEMA RADICICOLA,Nematoda,VU,Weak,Perfect,GBIF,,Xiphinema Radicicola
458,ZYGOCOTYLE LUNATA,Trematoda,LC,Good,Good,GBIF,,Zygocotyle Lunata